state,total_zips,zips_with_ph,zips_with_hardness,zips_with_both,completeness_pct
FL,983,962,182,161,16.4
VA,921,903,470,452,49.1
CA,862,687,571,396,45.9
TX,852,744,217,109,12.8
MN,836,822,316,302,36.1
PA,805,718,361,274,34.0
IN,701,641,548,488,69.6
OH,679,662,68,51,7.5
TN,652,651,392,391,60.0
MI,588,550,256,218,37.1
NY,563,405,325,167,29.7
WI,555,552,66,63,11.4
GA,531,501,93,63,11.9
AL,520,459,247,186,35.8
WV,497,468,445,416,83.7
NJ,494,479,350,335,67.8
NC,489,463,264,238,48.7
IA,404,362,139,97,24.0
OK,397,375,204,182,45.8
SC,347,336,47,36,10.4
MA,344,275,158,89,25.9
CO,323,323,12,12,3.7
MS,305,287,98,80,26.2
OR,303,302,41,40,13.2
NE,300,266,71,37,12.3
AR,293,292,14,13,4.4
IL,290,270,59,39,13.4
WA,275,260,70,55,20.0
KY,267,212,234,179,67.0
UT,262,261,68,67,25.6
VT,249,248,5,4,1.6
MT,249,246,56,53,21.3
ND,247,213,217,183,74.1
NM,242,219,129,106,43.8
KS,230,132,154,56,24.3
CT,217,208,162,153,70.5
AZ,207,173,172,138,66.7
ID,205,201,52,48,23.4
ME,202,201,6,5,2.5
SD,202,193,120,111,55.0
LA,201,189,39,27,13.4
MO,193,127,134,68,35.2
NH,192,187,16,11,5.7
WY,102,87,54,39,38.2
AK,85,84,27,26,30.6
DE,66,61,36,31,47.0
HI,60,59,2,1,1.7
MD,60,28,45,13,21.7
NV,49,40,25,16,32.7
RI,42,41,7,6,14.3
DC,1,1,1,1,100.0
