zip_code,city,state,ppm,gpg,classification,water_systems_count,url,scraped_at
01001,Agawam,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01001,2026-03-11T03:44:56.266655
01002,Cushman,MA,67,3.9,Slightly Hard,5,https://www.waterhardness.org/zip/01002,2026-03-11T03:44:58.867744
01005,Barre,MA,25,1.5,Soft,21,https://www.waterhardness.org/zip/01005,2026-03-11T03:45:05.417382
01007,Belchertown,MA,69,4,Slightly Hard,10,https://www.waterhardness.org/zip/01007,2026-03-11T03:45:09.311202
01008,Blandford,MA,25,1.5,Soft,9,https://www.waterhardness.org/zip/01008,2026-03-11T03:45:11.256011
01010,Brimfield,MA,25,1.5,Soft,10,https://www.waterhardness.org/zip/01010,2026-03-11T03:45:16.049158
01011,Chester,MA,25,1.5,Soft,9,https://www.waterhardness.org/zip/01011,2026-03-11T03:45:18.496483
01012,Chesterfield,MA,67,3.9,Slightly Hard,5,https://www.waterhardness.org/zip/01012,2026-03-11T03:45:20.615981
01013,Chicopee,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01013,2026-03-11T03:45:23.254819
01020,Chicopee,MA,25,1.5,Soft,9,https://www.waterhardness.org/zip/01020,2026-03-11T03:45:37.501768
01022,Westover Afb,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01022,2026-03-11T03:45:40.217311
01026,Cummington,MA,67,3.9,Slightly Hard,7,https://www.waterhardness.org/zip/01026,2026-03-11T03:45:46.690649
01027,Mount Tom,MA,67,3.9,Slightly Hard,5,https://www.waterhardness.org/zip/01027,2026-03-11T03:45:48.605274
01028,East Longmeadow,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01028,2026-03-11T03:45:51.016646
01029,East Otis,MA,6,0.4,Soft,2,https://www.waterhardness.org/zip/01029,2026-03-11T03:45:53.651171
01030,Feeding Hills,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01030,2026-03-11T03:45:55.669890
01031,Gilbertville,MA,26,1.5,Soft,21,https://www.waterhardness.org/zip/01031,2026-03-11T03:45:58.093650
01032,Goshen,MA,67,3.9,Slightly Hard,6,https://www.waterhardness.org/zip/01032,2026-03-11T03:45:59.593649
01033,Granby,MA,68,3.9,Slightly Hard,12,https://www.waterhardness.org/zip/01033,2026-03-11T03:46:01.013679
01034,Tolland,MA,25,1.5,Soft,9,https://www.waterhardness.org/zip/01034,2026-03-11T03:46:02.323039
01035,Hadley,MA,69,4,Slightly Hard,6,https://www.waterhardness.org/zip/01035,2026-03-11T03:46:04.710826
01036,Hampden,MA,25,1.5,Soft,12,https://www.waterhardness.org/zip/01036,2026-03-11T03:46:07.335581
01037,Hardwick,MA,26,1.5,Soft,22,https://www.waterhardness.org/zip/01037,2026-03-11T03:46:09.400057
01038,Hatfield,MA,66,3.8,Slightly Hard,6,https://www.waterhardness.org/zip/01038,2026-03-11T03:46:12.160392
01039,Haydenville,MA,67,3.9,Slightly Hard,6,https://www.waterhardness.org/zip/01039,2026-03-11T03:46:14.890543
01040,Holyoke,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01040,2026-03-11T03:46:17.510949
01050,Huntington,MA,68,3.9,Slightly Hard,6,https://www.waterhardness.org/zip/01050,2026-03-11T03:46:37.775625
01053,Leeds,MA,67,3.9,Slightly Hard,6,https://www.waterhardness.org/zip/01053,2026-03-11T03:46:43.755580
01054,Leverett,MA,15,0.9,Soft,2,https://www.waterhardness.org/zip/01054,2026-03-11T03:46:45.648886
01056,Ludlow,MA,25,1.5,Soft,8,https://www.waterhardness.org/zip/01056,2026-03-11T03:46:48.951277
01057,Monson,MA,28,1.6,Soft,9,https://www.waterhardness.org/zip/01057,2026-03-11T03:46:51.320747
