zip_code,city,state,ph_reading_1,ph_reading_2,ph_avg,hardness_ppm_avg,sample_year
01001,Agawam,MA,,,,32.0,2017.0
01002,Amherst,MA,5.82,6.21,6.04,235.25,2025.0
01005,Barre,MA,5.8,5.9,5.85,24.0,2020.0
01007,Belchertown,MA,6.38,6.98,6.01,13.88,2025.0
01008,Blandford,MA,6.69,,6.69,,2023.0
01011,Chester,MA,7.16,7.11,7.14,,2025.0
01012,Chesterfield,MA,,,,7.97,2016.0
01027,Easthampton,MA,,,,91.67,2016.0
01029,East Otis,MA,,,,37.0,2016.0
01030,Feeding Hills,MA,,,,47.0,2017.0
01031,Gilbertville,MA,7.4,7.5,7.4,,2020.0
01034,Granville,MA,6.0,5.87,6.35,,2025.0
01037,Hardwick,MA,7.0,7.1,6.7,21.25,2020.0
01039,Haydenville,MA,6.62,6.61,6.62,,2025.0
01050,Huntington,MA,7.7,8.1,7.9,,2020.0
01054,Leverett,MA,,,,8.27,2016.0
01056,Ludlow,MA,7.2,7.1,7.15,,2020.0
01061,Northampton,MA,7.32,7.66,7.49,,2025.0
01068,Oakham,MA,6.7,6.8,6.24,,2025.0
01069,Palmer,MA,,,,263.0,2017.0
01070,Plainfield,MA,6.58,6.26,6.42,10.83,2025.0
01072,Shutesbury,MA,7.0,7.2,6.21,,2025.0
01073,Southampton,MA,6.69,6.72,6.7,38.66,2025.0
01074,South Barre,MA,6.9,7.0,6.98,,2020.0
01079,Thorndike,MA,7.2,6.8,7.0,,2021.0
01080,Three Rivers,MA,6.6,7.1,6.2,,2025.0
01081,Wales,MA,,,,17.2,2016.0
01082,Ware,MA,6.12,6.8,6.46,,2025.0
01085,Westfield,MA,6.47,7.01,6.74,,2025.0
01089,West Springfield,MA,6.9,7.6,7.25,37.5,2021.0
01092,West Warren,MA,7.5,7.6,7.42,,2021.0
01093,Whately,MA,,,,46.5,2016.0
01097,Woronoco,MA,,,,8.5,2016.0
01107,Springfield,MA,7.32,7.68,7.5,,2025.0
01151,Indian Orchard,MA,7.2,7.2,6.91,43.6,2025.0
01203,Pittsfield,MA,7.7,7.7,7.7,,2020.0
01220,Adams,MA,7.9,7.8,7.85,,2020.0
01222,Ashley Falls,MA,8.1,8.2,8.15,27.2,2023.0
01223,Becket,MA,6.13,7.16,6.39,15.62,2025.0
01225,Cheshire,MA,7.92,8.03,7.98,,2025.0
01226,Dalton,MA,5.59,5.44,6.29,,2025.0
01227,Dalton,MA,7.56,7.55,7.56,,2025.0
01230,Great Barrington,MA,8.04,7.94,8.2,,2025.0
01235,Hinsdale,MA,7.0,6.98,7.01,,2025.0
01236,Housatonic,MA,7.35,7.73,7.54,,2025.0
01243,Middlefield,MA,7.09,7.0,7.04,,2021.0
01245,Monterey,MA,7.96,7.84,7.9,,2025.0
01247,North Adams,MA,,,,98.75,2016.0
01253,Otis,MA,6.82,6.91,6.65,19.75,2025.0
01254,Richmond,MA,8.05,7.9,7.98,,2025.0
01255,Sandisfield,MA,6.02,6.36,6.85,,2025.0
01257,Sheffield,MA,7.21,7.26,7.24,50.0,2025.0
01258,South Egremont,MA,7.8,7.9,7.85,,2020.0
01266,West Stockbridge,MA,,,,143.33,2016.0
01267,Williamstown,MA,6.9,8.0,7.58,,2023.0
01301,Greenfield,MA,7.87,7.88,7.59,,2025.0
